"names";"ID";"nbr_MS";"start";"end";"used";"blank (ID)";"color";"concentration";"unit";"acq_T0 (ID)";"delta_T (s)";"grp1";"grp2";"..."
"00_CEFE_chA_1";"1";"10";"1";"10";"TRUE";"";"";"";"";"";"";"";"";""
"01_CEFE_chB_1";"2";"10";"11";"20";"TRUE";"";"";"";"";"";"";"";"";""
"02_CEFE_chA_2";"3";"10";"21";"30";"TRUE";"";"";"";"";"";"";"";"";""
"03_CEFE_chB_2";"4";"10";"31";"40";"TRUE";"";"";"";"";"";"";"";"";""
"04_CEFE_chA_3";"5";"10";"41";"50";"TRUE";"";"";"";"";"";"";"";"";""
"05_CEFE_chB_3";"6";"10";"51";"60";"TRUE";"";"";"";"";"";"";"";"";""
"06_CEFE_chA_4";"7";"10";"61";"70";"TRUE";"";"";"";"";"";"";"";"";""
"07_CEFE_chB_4";"8";"10";"71";"80";"TRUE";"";"";"";"";"";"";"";"";""
"08_CEFE_chA_5";"9";"10";"81";"90";"TRUE";"";"";"";"";"";"";"";"";""
"09_CEFE_chB_5";"10";"10";"91";"100";"TRUE";"";"";"";"";"";"";"";"";""
"10_CEFE_chA_6";"11";"10";"101";"110";"TRUE";"";"";"";"";"";"";"";"";""
"11_CEFE_chB_6";"12";"10";"111";"120";"TRUE";"";"";"";"";"";"";"";"";""
